chunk_id,0,1,2,3,4,5,6,7
0.0,0.0007681976814107594,0.0006684746942132447,0.0030550642902213154,0.0019183744264082148,0.0005213417561410472,0.0014438243001675954,0.001971419680109082,0.0018868120896131935
1.0,0.0022403775133256476,0.0008426024690186829,0.002181000807609551,0.003614491197809988,0.0012189380122908655,0.002496982896121991,0.0030325438273990923,0.002245068263478839
2.0,0.00041269254454026627,0.00023482249745751527,0.002357756509438619,0.0011054598091451429,0.0005724412515149546,0.0002470576412681724,0.0025810397543030994,0.0006063521810848738
3.0,0.0013216369015700002,0.0016671001643109584,0.0012762138273674783,0.0018369956800533827,0.0010150216415417967,0.0014756509588010613,0.0007644247166967433,0.0017725802042101446
4.0,0.002881941286772799,0.0013270269700725867,0.0035432877529048834,0.002956612320983487,0.0020852246768814364,0.0016031018342449743,0.0034290293179725095,0.0036786815851384824
5.0,0.0018313437851622538,0.001739276157450037,0.0024575140532089312,0.0027040455419613807,0.0010772273201852534,0.00374199665779848,0.00407719072268467,0.002598147187791
6.0,0.002878657233653603,0.0004314510611103939,0.0017555208469121342,0.002533297976109544,0.0008339616406009831,0.00200729305841868,0.00310802626976478,0.0027389003226896136
7.0,0.0005264464131992663,0.0014133722327369092,0.0016874082511033894,0.001969145564231084,0.001710294968324838,0.001668944137665912,0.004038718311323214,0.0032697924689235047
8.0,0.000595564239575519,-6.123413230343933e-05,0.00027093065563640883,0.0018391066550432766,0.001293530146216415,0.0006924080624453599,0.002320614778648533,0.0013515605484985538
9.0,0.0014592366923134592,0.0005187306468432407,0.0017555654690338818,0.0017068186429801957,0.0007120828422519654,0.0012167303838959698,0.0025455678676084004,0.001663689816765318
10.0,0.00164629250107598,0.0030106326626070934,0.002712974523093936,0.0038216097302741503,0.0018914627757339597,0.00238435250796154,0.004204961768459969,0.0026148106870524657
11.0,-0.0005312391273733508,0.001954737722514477,0.0010583797955574237,0.0023628297155445233,0.00034833378329768294,0.0015265522111565788,0.002478966299651969,0.0011016323852668652
12.0,0.00036437186624665996,0.0023121638593648353,0.0021071015971972085,0.0035560499622580566,0.00048678162971904637,0.0021315035696147233,0.003363668743338183,0.003199709495386449
13.0,0.0030149699688983567,0.0011885754160619044,0.0022627278643616577,0.002981739725449767,0.0011506750182767589,0.0022181452058587514,0.003511876428500149,0.00337530581823961
14.0,0.0004153427806090626,0.0016826876975302996,0.0024424638414380917,0.002398295619026075,0.0018321583584691992,0.001526134484127667,0.0026620218412433116,0.001666198783333045
15.0,0.0018694906990656956,0.00038163430784476926,0.0022544763233163234,0.0014789716401000796,0.0009450536543238741,0.0008980235689654836,0.003991592851890685,0.002231528138276734
16.0,0.0006354417938856938,0.0018908249697298096,0.0024921365644497984,0.0035776251108846913,0.0018081530354781272,0.0010634627308143407,0.0037000748552021845,0.0009800962764031917
17.0,0.0004802334752684878,0.000586652985926861,0.0005504610614401884,0.0009540288806364761,0.00031753599263931176,0.0006583405687768384,0.0023426768776889373,0.002311146412485504
18.0,0.0006274667527732258,0.0010068973332227338,0.0015443128059595967,0.0020967158995878477,0.0008768635212545728,0.0010340208131511264,0.0030603952212147345,0.0021338566059406483
19.0,0.002951656065932201,0.0007869296498524692,0.0026406700544171213,0.0033864756478548808,0.002070059304600941,0.0021020396009037157,0.004243954989437915,0.004036305849637378
CORRUPTED,-0.01117907350503336,-0.011018510847444318,-0.00758612423381716,-0.009308758181669402,-0.008899010751922481,-0.010841962992119036,-0.009757691345380654,-0.0071454656446298115
