chunk_id,chunk_size,full_pool_score,loo_score,true_marginal_value
0.0,1501,0.9814359097455498,0.9810859245202647,0.0003499852252851765
1.0,1501,0.9814359097455498,0.9810243599380529,0.0004115498074969137
2.0,1501,0.9814359097455498,0.9811409366520721,0.00029497309347770173
3.0,1500,0.9814359097455498,0.9814045234713212,3.13862742286064e-05
4.0,1500,0.9814359097455498,0.9810422991565665,0.0003936105889833508
5.0,1500,0.9814359097455498,0.9810906582763121,0.0003452514692376951
6.0,1500,0.9814359097455498,0.981356478300163,7.943144538680169e-05
7.0,1499,0.9814359097455498,0.9813990183337832,3.6891411766659665e-05
8.0,1499,0.9814359097455498,0.9810854033165547,0.0003505064289951454
9.0,1499,0.9814359097455498,0.9811628811678008,0.0002730285777490238
